year,scenario,heatwave_days
1950,historical,5
1951,historical,4
1952,historical,2
1953,historical,2
1954,historical,3
1955,historical,6
1956,historical,4
1957,historical,6
1958,historical,4
1959,historical,4
1960,historical,4
1961,historical,3
1962,historical,3
1963,historical,2
1964,historical,4
1965,historical,5
1966,historical,2
1967,historical,2
1968,historical,5
1969,historical,4
1970,historical,0
1971,historical,4
1972,historical,3
1973,historical,3
1974,historical,6
1975,historical,2
1976,historical,5
1977,historical,3
1978,historical,8
1979,historical,4
1980,historical,4
1981,historical,2
1982,historical,3
1983,historical,4
1984,historical,4
1985,historical,3
1986,historical,5
1987,historical,3
1988,historical,3
1989,historical,6
1990,historical,4
1991,historical,3
1992,historical,2
1993,historical,3
1994,historical,2
1995,historical,5
1996,historical,8
1997,historical,3
1998,historical,4
1999,historical,5
2000,historical,4
2001,historical,7
2002,historical,9
2003,historical,9
2004,historical,8
2005,historical,9
2006,historical,11
2007,historical,8
2008,historical,7
2009,historical,11
2010,historical,9
2011,historical,12
2012,historical,8
2013,historical,13
2014,historical,12
1950,obs,0
1951,obs,2
1952,obs,0
1953,obs,0
1954,obs,0
1955,obs,4
1956,obs,0
1957,obs,3
1958,obs,2
1959,obs,18
1960,obs,0
1961,obs,0
1962,obs,0
1963,obs,7
1964,obs,0
1965,obs,0
1966,obs,4
1967,obs,0
1968,obs,3
1969,obs,2
1970,obs,0
1971,obs,10
1972,obs,6
1973,obs,6
1974,obs,0
1975,obs,4
1976,obs,3
1977,obs,6
1978,obs,0
1979,obs,0
1980,obs,1
1981,obs,0
1982,obs,3
1983,obs,1
1984,obs,2
1985,obs,0
1986,obs,0
1987,obs,0
1988,obs,3
1989,obs,1
1990,obs,0
1991,obs,6
1992,obs,0
1993,obs,0
1994,obs,21
1995,obs,6
1996,obs,4
1997,obs,12
1998,obs,0
1999,obs,3
2000,obs,0
2001,obs,7
2002,obs,13
2003,obs,13
2004,obs,6
2005,obs,7
2006,obs,14
2007,obs,10
2008,obs,0
2009,obs,0
2010,obs,22
2011,obs,6
2012,obs,1
2013,obs,3
2014,obs,18
2015,ssp126,10
2016,ssp126,15
2017,ssp126,16
2018,ssp126,8
2019,ssp126,10
2020,ssp126,10
2021,ssp126,14
2022,ssp126,12
2023,ssp126,15
2024,ssp126,9
2025,ssp126,14
2026,ssp126,9
2027,ssp126,10
2028,ssp126,17
2029,ssp126,8
2030,ssp126,12
2031,ssp126,11
2032,ssp126,12
2033,ssp126,18
2034,ssp126,11
2035,ssp126,11
2036,ssp126,14
2037,ssp126,12
2038,ssp126,11
2039,ssp126,14
2040,ssp126,11
2041,ssp126,17
2042,ssp126,21
2043,ssp126,13
2044,ssp126,10
2045,ssp126,11
2046,ssp126,13
2047,ssp126,10
2048,ssp126,15
2049,ssp126,17
2050,ssp126,12
2051,ssp126,19
2052,ssp126,15
2053,ssp126,13
2054,ssp126,15
2055,ssp126,19
2056,ssp126,13
2057,ssp126,15
2058,ssp126,15
2059,ssp126,20
2060,ssp126,19
2061,ssp126,19
2062,ssp126,15
2063,ssp126,23
2064,ssp126,17
2065,ssp126,17
2066,ssp126,14
2067,ssp126,21
2068,ssp126,17
2069,ssp126,20
2070,ssp126,13
2071,ssp126,13
2072,ssp126,14
2073,ssp126,16
2074,ssp126,18
2075,ssp126,16
2076,ssp126,10
2077,ssp126,13
2078,ssp126,18
2079,ssp126,16
2080,ssp126,18
2081,ssp126,15
2082,ssp126,17
2083,ssp126,16
2084,ssp126,17
2085,ssp126,16
2086,ssp126,18
2087,ssp126,17
2088,ssp126,12
2089,ssp126,16
2090,ssp126,19
2091,ssp126,12
2092,ssp126,18
2093,ssp126,18
2094,ssp126,25
2095,ssp126,18
2096,ssp126,20
2097,ssp126,24
2098,ssp126,21
2099,ssp126,16
2100,ssp126,14
2015,ssp245,10
2016,ssp245,10
2017,ssp245,9
2018,ssp245,13
2019,ssp245,7
2020,ssp245,10
2021,ssp245,9
2022,ssp245,13
2023,ssp245,11
2024,ssp245,7
2025,ssp245,13
2026,ssp245,13
2027,ssp245,12
2028,ssp245,15
2029,ssp245,17
2030,ssp245,16
2031,ssp245,11
2032,ssp245,13
2033,ssp245,14
2034,ssp245,13
2035,ssp245,15
2036,ssp245,12
2037,ssp245,17
2038,ssp245,11
2039,ssp245,14
2040,ssp245,16
2041,ssp245,15
2042,ssp245,17
2043,ssp245,18
2044,ssp245,18
2045,ssp245,9
2046,ssp245,16
2047,ssp245,21
2048,ssp245,25
2049,ssp245,16
2050,ssp245,15
2051,ssp245,20
2052,ssp245,19
2053,ssp245,18
2054,ssp245,18
2055,ssp245,19
2056,ssp245,23
2057,ssp245,21
2058,ssp245,20
2059,ssp245,19
2060,ssp245,19
2061,ssp245,21
2062,ssp245,23
2063,ssp245,19
2064,ssp245,19
2065,ssp245,21
2066,ssp245,20
2067,ssp245,21
2068,ssp245,21
2069,ssp245,27
2070,ssp245,24
2071,ssp245,26
2072,ssp245,25
2073,ssp245,18
2074,ssp245,20
2075,ssp245,27
2076,ssp245,20
2077,ssp245,28
2078,ssp245,22
2079,ssp245,31
2080,ssp245,25
2081,ssp245,21
2082,ssp245,30
2083,ssp245,33
2084,ssp245,24
2085,ssp245,23
2086,ssp245,32
2087,ssp245,25
2088,ssp245,26
2089,ssp245,21
2090,ssp245,20
2091,ssp245,30
2092,ssp245,34
2093,ssp245,29
2094,ssp245,27
2095,ssp245,33
2096,ssp245,24
2097,ssp245,26
2098,ssp245,28
2099,ssp245,26
2100,ssp245,25
2015,ssp370,7
2016,ssp370,11
2017,ssp370,11
2018,ssp370,9
2019,ssp370,11
2020,ssp370,7
2021,ssp370,13
2022,ssp370,9
2023,ssp370,12
2024,ssp370,13
2025,ssp370,11
2026,ssp370,14
2027,ssp370,9
2028,ssp370,14
2029,ssp370,11
2030,ssp370,12
2031,ssp370,9
2032,ssp370,14
2033,ssp370,15
2034,ssp370,15
2035,ssp370,12
2036,ssp370,20
2037,ssp370,18
2038,ssp370,16
2039,ssp370,16
2040,ssp370,11
2041,ssp370,18
2042,ssp370,16
2043,ssp370,15
2044,ssp370,17
2045,ssp370,16
2046,ssp370,15
2047,ssp370,17
2048,ssp370,15
2049,ssp370,28
2050,ssp370,19
2051,ssp370,17
2052,ssp370,17
2053,ssp370,24
2054,ssp370,20
2055,ssp370,20
2056,ssp370,27
2057,ssp370,19
2058,ssp370,25
2059,ssp370,23
2060,ssp370,25
2061,ssp370,24
2062,ssp370,32
2063,ssp370,26
2064,ssp370,27
2065,ssp370,25
2066,ssp370,27
2067,ssp370,28
2068,ssp370,30
2069,ssp370,28
2070,ssp370,26
2071,ssp370,33
2072,ssp370,31
2073,ssp370,29
2074,ssp370,37
2075,ssp370,29
2076,ssp370,33
2077,ssp370,30
2078,ssp370,39
2079,ssp370,40
2080,ssp370,40
2081,ssp370,33
2082,ssp370,35
2083,ssp370,39
2084,ssp370,40
2085,ssp370,39
2086,ssp370,40
2087,ssp370,43
2088,ssp370,45
2089,ssp370,42
2090,ssp370,37
2091,ssp370,41
2092,ssp370,40
2093,ssp370,42
2094,ssp370,40
2095,ssp370,40
2096,ssp370,43
2097,ssp370,49
2098,ssp370,45
2099,ssp370,48
2100,ssp370,52
